case:concept:name,concept:name,time:timestamp
1,Login,2025-04-01 12:53:00
1,View_Content,2025-04-01 12:56:00
1,Attempt_Quiz,2025-04-01 12:57:00
1,Submit_Quiz,2025-04-01 13:03:00
1,Logout,2025-04-01 13:04:00
2,Login,2025-04-01 16:28:00
2,View_Content,2025-04-01 16:35:00
2,Attempt_Quiz,2025-04-01 16:37:00
2,Submit_Quiz,2025-04-01 16:49:00
2,Logout,2025-04-01 16:50:00
3,Login,2025-04-01 17:22:00
3,View_Content,2025-04-01 17:27:00
3,Attempt_Quiz,2025-04-01 17:28:00
3,Submit_Quiz,2025-04-01 17:31:00
3,Logout,2025-04-01 17:32:00
4,Login,2025-04-01 10:57:00
4,View_Content,2025-04-01 11:02:00
4,Attempt_Quiz,2025-04-01 11:06:00
4,Submit_Quiz,2025-04-01 11:15:00
4,Logout,2025-04-01 11:19:00
5,Login,2025-04-01 11:49:00
5,View_Content,2025-04-01 11:51:00
5,Attempt_Quiz,2025-04-01 11:53:00
5,Submit_Quiz,2025-04-01 12:02:00
5,Logout,2025-04-01 12:03:00
6,Login,2025-04-01 16:16:00
6,Attempt_Quiz,2025-04-01 16:17:00
6,Submit_Quiz,2025-04-01 16:30:00
6,Logout,2025-04-01 16:33:00
7,Login,2025-04-01 16:04:00
7,View_Content,2025-04-01 16:13:00
7,Attempt_Quiz,2025-04-01 16:16:00
7,Logout,2025-04-01 16:19:00
8,Login,2025-04-01 14:29:00
8,View_Content,2025-04-01 14:34:00
8,Attempt_Quiz,2025-04-01 14:37:00
8,Submit_Quiz,2025-04-01 14:51:00
8,Logout,2025-04-01 14:55:00
9,Login,2025-04-01 17:46:00
9,View_Content,2025-04-01 17:50:00
9,Attempt_Quiz,2025-04-01 17:54:00
9,Submit_Quiz,2025-04-01 18:08:00
9,Logout,2025-04-01 18:12:00
10,Login,2025-04-01 11:41:00
10,View_Content,2025-04-01 11:48:00
10,Attempt_Quiz,2025-04-01 11:52:00
10,Logout,2025-04-01 11:55:00
11,Login,2025-04-01 15:51:00
11,View_Content,2025-04-01 15:54:00
11,Attempt_Quiz,2025-04-01 15:55:00
11,Submit_Quiz,2025-04-01 16:02:00
11,Logout,2025-04-01 16:06:00
12,Login,2025-04-01 14:46:00
12,Attempt_Quiz,2025-04-01 14:47:00
12,Submit_Quiz,2025-04-01 14:51:00
12,Logout,2025-04-01 14:53:00
13,Login,2025-04-01 11:36:00
13,View_Content,2025-04-01 11:40:00
13,Attempt_Quiz,2025-04-01 11:43:00
13,Submit_Quiz,2025-04-01 11:46:00
13,Logout,2025-04-01 11:47:00
14,Login,2025-04-01 12:35:00
14,View_Content,2025-04-01 12:41:00
14,Attempt_Quiz,2025-04-01 12:45:00
14,Submit_Quiz,2025-04-01 12:58:00
14,Logout,2025-04-01 12:59:00
15,Login,2025-04-01 11:25:00
15,Attempt_Quiz,2025-04-01 11:27:00
15,Submit_Quiz,2025-04-01 11:41:00
15,Logout,2025-04-01 11:45:00
16,Login,2025-04-01 13:44:00
16,Attempt_Quiz,2025-04-01 13:47:00
16,Submit_Quiz,2025-04-01 13:49:00
16,Logout,2025-04-01 13:52:00
17,Login,2025-04-01 12:55:00
17,View_Content,2025-04-01 13:00:00
17,Attempt_Quiz,2025-04-01 13:01:00
17,Submit_Quiz,2025-04-01 13:03:00
17,Logout,2025-04-01 13:07:00
18,Login,2025-04-01 10:19:00
18,View_Content,2025-04-01 10:28:00
18,Logout,2025-04-01 10:32:00
19,Login,2025-04-01 17:26:00
19,View_Content,2025-04-01 17:29:00
19,Attempt_Quiz,2025-04-01 17:30:00
19,Submit_Quiz,2025-04-01 17:39:00
19,Logout,2025-04-01 17:40:00
20,Login,2025-04-01 16:03:00
20,View_Content,2025-04-01 16:12:00
20,Attempt_Quiz,2025-04-01 16:16:00
20,Submit_Quiz,2025-04-01 16:18:00
20,Logout,2025-04-01 16:21:00
21,Login,2025-04-01 15:24:00
21,View_Content,2025-04-01 15:28:00
21,Attempt_Quiz,2025-04-01 15:29:00
21,Logout,2025-04-01 15:32:00
22,Login,2025-04-01 15:49:00
22,View_Content,2025-04-01 15:52:00
22,Attempt_Quiz,2025-04-01 15:53:00
22,Submit_Quiz,2025-04-01 16:02:00
22,Logout,2025-04-01 16:03:00
23,Login,2025-04-01 17:58:00
23,View_Content,2025-04-01 18:03:00
23,Attempt_Quiz,2025-04-01 18:04:00
23,Logout,2025-04-01 18:08:00
24,Login,2025-04-01 12:48:00
24,View_Content,2025-04-01 12:50:00
24,Attempt_Quiz,2025-04-01 12:54:00
24,Submit_Quiz,2025-04-01 13:02:00
24,Logout,2025-04-01 13:06:00
25,Login,2025-04-01 17:25:00
25,View_Content,2025-04-01 17:34:00
25,Logout,2025-04-01 17:36:00
26,Login,2025-04-01 11:56:00
26,View_Content,2025-04-01 12:02:00
26,Attempt_Quiz,2025-04-01 12:05:00
26,Logout,2025-04-01 12:08:00
27,Login,2025-04-01 12:31:00
27,View_Content,2025-04-01 12:33:00
27,Attempt_Quiz,2025-04-01 12:34:00
27,Submit_Quiz,2025-04-01 12:39:00
27,Logout,2025-04-01 12:41:00
28,Login,2025-04-01 08:18:00
28,View_Content,2025-04-01 08:19:00
28,Attempt_Quiz,2025-04-01 08:21:00
28,Submit_Quiz,2025-04-01 08:34:00
28,Logout,2025-04-01 08:38:00
29,Login,2025-04-01 12:50:00
29,View_Content,2025-04-01 12:56:00
29,Attempt_Quiz,2025-04-01 12:57:00
29,Submit_Quiz,2025-04-01 12:59:00
29,Logout,2025-04-01 13:00:00
30,Login,2025-04-01 10:15:00
30,View_Content,2025-04-01 10:19:00
30,Logout,2025-04-01 10:21:00
31,Login,2025-04-01 11:23:00
31,View_Content,2025-04-01 11:27:00
31,Logout,2025-04-01 11:28:00
32,Login,2025-04-01 12:39:00
32,View_Content,2025-04-01 12:48:00
32,Attempt_Quiz,2025-04-01 12:50:00
32,Submit_Quiz,2025-04-01 12:54:00
32,Logout,2025-04-01 12:57:00
33,Login,2025-04-01 16:50:00
33,View_Content,2025-04-01 16:56:00
33,Attempt_Quiz,2025-04-01 16:58:00
33,Submit_Quiz,2025-04-01 17:03:00
33,Logout,2025-04-01 17:06:00
34,Login,2025-04-01 16:31:00
34,View_Content,2025-04-01 16:38:00
34,Attempt_Quiz,2025-04-01 16:39:00
34,Submit_Quiz,2025-04-01 16:49:00
34,Logout,2025-04-01 16:53:00
35,Login,2025-04-01 09:31:00
35,View_Content,2025-04-01 09:39:00
35,Attempt_Quiz,2025-04-01 09:41:00
35,Submit_Quiz,2025-04-01 09:53:00
35,Logout,2025-04-01 09:56:00
36,Login,2025-04-01 13:34:00
36,View_Content,2025-04-01 13:35:00
36,Attempt_Quiz,2025-04-01 13:37:00
36,Submit_Quiz,2025-04-01 13:47:00
36,Logout,2025-04-01 13:49:00
37,Login,2025-04-01 17:12:00
37,View_Content,2025-04-01 17:14:00
37,Attempt_Quiz,2025-04-01 17:18:00
37,Submit_Quiz,2025-04-01 17:27:00
37,Logout,2025-04-01 17:29:00
38,Login,2025-04-01 08:23:00
38,Attempt_Quiz,2025-04-01 08:27:00
38,Submit_Quiz,2025-04-01 08:33:00
38,Logout,2025-04-01 08:37:00
39,Login,2025-04-01 14:33:00
39,View_Content,2025-04-01 14:38:00
39,Attempt_Quiz,2025-04-01 14:40:00
39,Submit_Quiz,2025-04-01 14:54:00
39,Logout,2025-04-01 14:57:00
40,Login,2025-04-01 08:34:00
40,Attempt_Quiz,2025-04-01 08:37:00
40,Submit_Quiz,2025-04-01 08:50:00
40,Logout,2025-04-01 08:54:00
41,Login,2025-04-01 14:51:00
41,View_Content,2025-04-01 14:54:00
41,Attempt_Quiz,2025-04-01 14:58:00
41,Submit_Quiz,2025-04-01 15:11:00
41,Logout,2025-04-01 15:15:00
42,Login,2025-04-01 13:19:00
42,View_Content,2025-04-01 13:21:00
42,Attempt_Quiz,2025-04-01 13:23:00
42,Submit_Quiz,2025-04-01 13:33:00
42,Logout,2025-04-01 13:35:00
43,Login,2025-04-01 17:49:00
43,View_Content,2025-04-01 17:54:00
43,Attempt_Quiz,2025-04-01 17:58:00
43,Submit_Quiz,2025-04-01 18:00:00
43,Logout,2025-04-01 18:02:00
44,Login,2025-04-01 08:48:00
44,Attempt_Quiz,2025-04-01 08:52:00
44,Logout,2025-04-01 08:53:00
45,Login,2025-04-01 08:40:00
45,View_Content,2025-04-01 08:43:00
45,Attempt_Quiz,2025-04-01 08:46:00
45,Logout,2025-04-01 08:50:00
46,Login,2025-04-01 08:32:00
46,View_Content,2025-04-01 08:34:00
46,Attempt_Quiz,2025-04-01 08:38:00
46,Submit_Quiz,2025-04-01 08:43:00
46,Logout,2025-04-01 08:47:00
47,Login,2025-04-01 16:25:00
47,View_Content,2025-04-01 16:32:00
47,Attempt_Quiz,2025-04-01 16:33:00
47,Logout,2025-04-01 16:36:00
48,Login,2025-04-01 14:53:00
48,View_Content,2025-04-01 14:57:00
48,Logout,2025-04-01 15:01:00
49,Login,2025-04-01 17:40:00
49,View_Content,2025-04-01 17:45:00
49,Attempt_Quiz,2025-04-01 17:49:00
49,Submit_Quiz,2025-04-01 17:55:00
49,Logout,2025-04-01 17:56:00
50,Login,2025-04-01 15:29:00
50,View_Content,2025-04-01 15:32:00
50,Attempt_Quiz,2025-04-01 15:33:00
50,Submit_Quiz,2025-04-01 15:42:00
50,Logout,2025-04-01 15:44:00
51,Login,2025-04-01 14:22:00
51,View_Content,2025-04-01 14:26:00
51,Attempt_Quiz,2025-04-01 14:28:00
51,Submit_Quiz,2025-04-01 14:40:00
51,Logout,2025-04-01 14:41:00
52,Login,2025-04-01 09:21:00
52,View_Content,2025-04-01 09:24:00
52,Attempt_Quiz,2025-04-01 09:26:00
52,Submit_Quiz,2025-04-01 09:28:00
52,Logout,2025-04-01 09:30:00
53,Login,2025-04-01 10:42:00
53,View_Content,2025-04-01 10:44:00
53,Attempt_Quiz,2025-04-01 10:48:00
53,Submit_Quiz,2025-04-01 11:00:00
53,Logout,2025-04-01 11:01:00
54,Login,2025-04-01 10:09:00
54,View_Content,2025-04-01 10:14:00
54,Attempt_Quiz,2025-04-01 10:15:00
54,Logout,2025-04-01 10:18:00
55,Login,2025-04-01 16:26:00
55,View_Content,2025-04-01 16:33:00
55,Attempt_Quiz,2025-04-01 16:35:00
55,Submit_Quiz,2025-04-01 16:37:00
55,Logout,2025-04-01 16:38:00
56,Login,2025-04-01 12:14:00
56,View_Content,2025-04-01 12:21:00
56,Attempt_Quiz,2025-04-01 12:25:00
56,Submit_Quiz,2025-04-01 12:32:00
56,Logout,2025-04-01 12:36:00
57,Login,2025-04-01 09:28:00
57,View_Content,2025-04-01 09:32:00
57,Attempt_Quiz,2025-04-01 09:36:00
57,Submit_Quiz,2025-04-01 09:46:00
57,Logout,2025-04-01 09:47:00
58,Login,2025-04-01 14:53:00
58,View_Content,2025-04-01 14:58:00
58,Attempt_Quiz,2025-04-01 15:01:00
58,Submit_Quiz,2025-04-01 15:06:00
58,Logout,2025-04-01 15:07:00
59,Login,2025-04-01 11:23:00
59,View_Content,2025-04-01 11:26:00
59,Attempt_Quiz,2025-04-01 11:28:00
59,Logout,2025-04-01 11:30:00
60,Login,2025-04-01 13:52:00
60,View_Content,2025-04-01 14:01:00
60,Attempt_Quiz,2025-04-01 14:04:00
60,Logout,2025-04-01 14:06:00
61,Login,2025-04-01 13:33:00
61,Attempt_Quiz,2025-04-01 13:35:00
61,Logout,2025-04-01 13:38:00
62,Login,2025-04-01 14:56:00
62,View_Content,2025-04-01 14:57:00
62,Logout,2025-04-01 14:58:00
63,Login,2025-04-01 16:40:00
63,View_Content,2025-04-01 16:47:00
63,Attempt_Quiz,2025-04-01 16:48:00
63,Submit_Quiz,2025-04-01 16:54:00
63,Logout,2025-04-01 16:58:00
64,Login,2025-04-01 12:24:00
64,View_Content,2025-04-01 12:29:00
64,Attempt_Quiz,2025-04-01 12:33:00
64,Submit_Quiz,2025-04-01 12:43:00
64,Logout,2025-04-01 12:47:00
65,Login,2025-04-01 15:49:00
65,View_Content,2025-04-01 15:51:00
65,Attempt_Quiz,2025-04-01 15:54:00
65,Logout,2025-04-01 15:58:00
66,Login,2025-04-01 11:37:00
66,View_Content,2025-04-01 11:42:00
66,Attempt_Quiz,2025-04-01 11:44:00
66,Submit_Quiz,2025-04-01 11:52:00
66,Logout,2025-04-01 11:54:00
67,Login,2025-04-01 11:37:00
67,Attempt_Quiz,2025-04-01 11:38:00
67,Submit_Quiz,2025-04-01 11:43:00
67,Logout,2025-04-01 11:44:00
68,Login,2025-04-01 17:08:00
68,View_Content,2025-04-01 17:16:00
68,Attempt_Quiz,2025-04-01 17:20:00
68,Submit_Quiz,2025-04-01 17:28:00
68,Logout,2025-04-01 17:30:00
69,Login,2025-04-01 17:36:00
69,View_Content,2025-04-01 17:39:00
69,Attempt_Quiz,2025-04-01 17:40:00
69,Submit_Quiz,2025-04-01 17:51:00
69,Logout,2025-04-01 17:54:00
70,Login,2025-04-01 14:37:00
70,View_Content,2025-04-01 14:40:00
70,Logout,2025-04-01 14:43:00
71,Login,2025-04-01 17:22:00
71,View_Content,2025-04-01 17:23:00
71,Attempt_Quiz,2025-04-01 17:24:00
71,Submit_Quiz,2025-04-01 17:38:00
71,Logout,2025-04-01 17:42:00
72,Login,2025-04-01 09:48:00
72,Attempt_Quiz,2025-04-01 09:49:00
72,Submit_Quiz,2025-04-01 10:03:00
72,Logout,2025-04-01 10:07:00
73,Login,2025-04-01 12:53:00
73,Attempt_Quiz,2025-04-01 12:55:00
73,Submit_Quiz,2025-04-01 13:06:00
73,Logout,2025-04-01 13:09:00
74,Login,2025-04-01 15:48:00
74,View_Content,2025-04-01 15:57:00
74,Attempt_Quiz,2025-04-01 15:58:00
74,Logout,2025-04-01 16:00:00
75,Login,2025-04-01 10:13:00
75,View_Content,2025-04-01 10:21:00
75,Attempt_Quiz,2025-04-01 10:22:00
75,Logout,2025-04-01 10:24:00
76,Login,2025-04-01 12:32:00
76,View_Content,2025-04-01 12:40:00
76,Attempt_Quiz,2025-04-01 12:42:00
76,Submit_Quiz,2025-04-01 12:55:00
76,Logout,2025-04-01 12:57:00
77,Login,2025-04-01 11:01:00
77,View_Content,2025-04-01 11:03:00
77,Attempt_Quiz,2025-04-01 11:06:00
77,Submit_Quiz,2025-04-01 11:08:00
